"Marca temporal","1. ¿Con qué frecuencia recibes dinero?","2. ¿Cuánto dinero recibes aproximadamente a la semana?","3. ¿Tienes algún trabajo o actividad remunerada?","4. ¿En qué gastas MÁS tu dinero?","5. ¿Cuánto gastas a la semana en comida fuera de casa?","6. ¿Cuánto gastas a la semana en transporte?","7. ¿Compras cosas por impulso sin necesidad real?","8. ¿Qué tan probable es que ahorres tu dinero destinado para la semana?","9. Si ahorras, ¿qué porcentaje de tus ingresos guardas aproximadamente?(0-100%)","10. ¿Te alcanza el dinero para cubrir tus necesidades habituales?","11. ¿Te fijas en los precios o comparas antes de comprar?","12. ¿Alguna vez has elaborado un presupuesto para administrar tus gastos?"
"2026/09/06 3:43:08 p.m. GMT-6","Mensualmente","Más de $1,000 MXN","Sí, emprendimiento propio o ventas","Materiales escolares / estudios","Más de $300 MXN","Más de $250 MXN","Frecuentemente","Sí, de forma constante","Entre el 10% y el 25%","Sí, justo a la medida","A veces","Sí, pero no suelo seguirlo"
"2026/09/06 3:48:41 p.m. GMT-6","Semanalmente","Menos de $200 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","$0 MXN (Suelo comer en casa o llevar comida)","Entre $100 y $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Sí, justo a la medida","A veces","Nunca lo he intentado"
"2026/09/06 3:51:52 p.m. GMT-6","Quincenalmente","Más de $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Entretenimiento y salidas","Entre $150 y $300 MXN","Entre $100 y $250 MXN","Casi siempre","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, y me sobra","A veces","Sí, y lo sigo regularmente"
"2026/09/06 4:17:28 p.m. GMT-6","Semanalmente","Más de $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Materiales escolares / estudios","Entre $150 y $300 MXN","Más de $250 MXN","Frecuentemente","Sí, de forma constante","Entre el 10% y el 25%","No me alcanza","A veces","Sí, pero no suelo seguirlo"
"2026/09/06 4:18:26 p.m. GMT-6","Semanalmente","Más de $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Materiales escolares / estudios","Entre $150 y $300 MXN","Más de $250 MXN","Frecuentemente","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Rara vez me alcanza","A veces","Sí, pero no suelo seguirlo"
"2026/09/06 4:28:32 p.m. GMT-6","Semanalmente","Entre $200 y $500 MXN","No, solo recibo apoyo de mi familia/beca","Comida y snacks","$0 MXN (Suelo comer en casa o llevar comida)","$0 MXN (Camino, uso bici o no gasto)","Rara vez","Sí, de vez en cuando (cuando sobra)","Menos del 10%","Sí, justo a la medida","Siempre","Sí, pero no suelo seguirlo"
"2026/09/06 6:35:21 p.m. GMT-6","Semanalmente","Entre $200 y $500 MXN","Sí, trabajo formal o medio tiempo","Transporte","Menos de $150 MXN","Entre $100 y $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Menos del 10%","No me alcanza","A veces","Sí, pero no suelo seguirlo"
"2026/09/06 7:29:25 p.m. GMT-6","Quincenalmente","Entre $501 y $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Comida y snacks","Más de $300 MXN","Entre $100 y $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Sí, justo a la medida","A veces","Nunca lo he intentado"
"2026/09/06 8:48:01 p.m. GMT-6","Semanalmente","Más de $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Comida y snacks","Menos de $150 MXN","$0 MXN (Camino, uso bici o no gasto)","Rara vez","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Sí, y me sobra","Nunca","Sí, y lo sigo regularmente"
"2026/09/06 9:27:16 p.m. GMT-6","Semanalmente","Entre $501 y $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","Menos de $150 MXN","Menos de $100 MXN","Rara vez","Sí, de forma constante","Más del 25%","Sí, justo a la medida","A veces","Sí, y lo sigo regularmente"
"2026/09/07 8:58:27 a.m. GMT-6","No tengo un ingreso regular","Más de $1,000 MXN","Sí, emprendimiento propio o ventas","Materiales escolares / estudios","Más de $300 MXN","Más de $250 MXN","Nunca","Sí, de forma constante","Más del 25%","Sí, y me sobra","Siempre","Sí, y lo sigo regularmente"
"2026/09/08 7:05:17 p.m. GMT-6","Semanalmente","Entre $501 y $1,000 MXN","No, solo recibo apoyo de mi familia/beca","Transporte","Menos de $150 MXN","Más de $250 MXN","Rara vez","Sí, de vez en cuando (cuando sobra)","Entre el 10% y el 25%","Sí, justo a la medida","A veces","Sí, pero no suelo seguirlo"
